user_id,when,isStressed
2,2013-03-09 09:11:10.000,1
2,2013-03-09 09:11:20.000,1
2,2013-03-09 09:11:30.000,1
2,2013-03-09 09:11:40.000,1
2,2013-03-09 09:11:50.000,1
2,2013-03-09 09:12:0.000,1
2,2013-03-09 09:12:10.000,1
2,2013-03-09 09:12:20.000,1
2,2013-03-09 09:12:30.000,1
2,2013-03-09 09:12:40.000,1
2,2013-03-09 09:12:50.000,1
2,2013-03-09 09:13:0.000,1
2,2013-03-09 09:13:10.000,1
2,2013-03-09 09:13:20.000,1
2,2013-03-09 09:13:30.000,1
2,2013-03-09 09:13:40.000,1
2,2013-03-09 09:13:50.000,1
2,2013-03-09 09:14:0.000,1
2,2013-03-09 09:14:10.000,1
2,2013-03-09 09:14:20.000,1
2,2013-03-09 09:14:30.000,1
2,2013-03-09 09:14:40.000,1
2,2013-03-09 09:14:50.000,1
2,2013-03-09 09:15:0.000,1
2,2013-03-09 09:15:10.000,1
2,2013-03-09 09:15:20.000,1
2,2013-03-09 09:15:30.000,1
2,2013-03-09 09:15:40.000,1
2,2013-03-09 09:15:50.000,1
2,2013-03-09 09:16:0.000,1
2,2013-03-09 09:16:10.000,1
2,2013-03-09 09:16:20.000,1
2,2013-03-09 09:16:30.000,1
2,2013-03-09 09:16:40.000,1
2,2013-03-09 09:16:50.000,1
2,2013-03-09 09:17:0.000,1
2,2013-03-09 09:17:10.000,1
2,2013-03-09 09:17:20.000,1
2,2013-03-09 09:17:30.000,1
2,2013-03-09 09:17:40.000,1
2,2013-03-09 09:17:50.000,1
2,2013-03-09 09:18:0.000,1
2,2013-03-09 09:18:10.000,1
2,2013-03-09 09:18:20.000,1
2,2013-03-09 09:18:30.000,1
2,2013-03-09 09:18:40.000,1
2,2013-03-09 09:18:50.000,1
2,2013-03-09 09:19:0.000,1
2,2013-03-09 09:19:10.000,1
2,2013-03-09 09:19:20.000,1
2,2013-03-09 09:19:30.000,1
2,2013-03-09 09:19:40.000,1
2,2013-03-09 09:19:50.000,1
2,2013-03-09 09:20:0.000,1
2,2013-03-09 09:20:10.000,1
2,2013-03-09 09:20:20.000,1
2,2013-03-09 09:20:30.000,1
2,2013-03-09 09:20:40.000,1
2,2013-03-09 09:20:50.000,1
2,2013-03-09 09:21:0.000,0
2,2013-03-09 09:21:10.000,1
2,2013-03-09 09:21:20.000,1
2,2013-03-09 09:21:30.000,1
2,2013-03-09 09:21:40.000,0
2,2013-03-09 09:21:50.000,1
2,2013-03-09 09:22:0.000,1
2,2013-03-09 09:22:10.000,1
2,2013-03-09 09:22:20.000,1
2,2013-03-09 09:22:30.000,1
2,2013-03-09 09:22:40.000,1
2,2013-03-09 09:22:50.000,1
2,2013-03-09 09:23:0.000,1
2,2013-03-09 09:23:10.000,1
2,2013-03-09 09:23:20.000,1
2,2013-03-09 09:23:30.000,1
2,2013-03-09 09:23:40.000,1
2,2013-03-09 09:23:50.000,1
2,2013-03-09 09:24:0.000,1
2,2013-03-09 09:24:10.000,1
2,2013-03-09 09:24:20.000,1
2,2013-03-09 09:24:30.000,1
2,2013-03-09 09:24:40.000,1
