user_id,when,lat,lon
2,2013-03-09 14:55:00,42.4487874,-76.4886745
2,2013-03-09 15:00:00,42.4488072,-76.4887167
2,2013-03-09 15:05:00,42.4487915,-76.4888813
2,2013-03-09 15:10:00,42.4482745,-76.4889265
2,2013-03-09 15:15:00,42.4488099,-76.4886888
2,2013-03-09 15:20:00,42.448827,-76.4886952
2,2013-03-09 15:25:00,42.4488239,-76.4886852
2,2013-03-09 15:30:00,42.4487344,-76.4886685
2,2013-03-09 15:35:00,42.4482677,-76.4889137
2,2013-03-09 15:40:00,42.4488139,-76.4887061
2,2013-03-09 15:45:00,42.4488254,-76.4887053
2,2013-03-09 15:50:00,42.4484398,-76.4888472
2,2013-03-09 15:55:00,42.4487103,-76.488835
2,2013-03-09 16:00:00,42.4487885,-76.4886717
2,2013-03-09 16:05:00,42.4488188,-76.4886755
2,2013-03-09 16:10:00,42.44841,-76.4888499
2,2013-03-09 16:15:00,42.4488151,-76.4886735
2,2013-03-09 16:20:00,42.4488122,-76.4886959
2,2013-03-09 16:25:00,42.4488007,-76.488713
2,2013-03-09 19:40:00,42.4488235,-76.4887236
2,2013-03-09 19:45:00,42.448802,-76.4887068
2,2013-03-09 19:50:00,42.4488083,-76.4887066
2,2013-03-09 19:55:00,42.4487183,-76.4889156
2,2013-03-09 20:00:00,42.4486671,-76.488843
2,2013-03-09 20:05:00,42.4487132,-76.4887793
2,2013-03-09 20:10:00,42.4487832,-76.4886934
2,2013-03-09 20:15:00,42.4488132,-76.4887108
2,2013-03-09 20:20:00,42.4488057,-76.4886692
2,2013-03-09 20:25:00,42.4488156,-76.4887115
2,2013-03-09 20:30:00,42.4484045,-76.488874
2,2013-03-09 20:35:00,42.4483636,-76.4888928
2,2013-03-09 20:40:00,42.4487897,-76.488718
2,2013-03-09 20:45:00,42.4488161,-76.4886902
2,2013-03-09 20:50:00,42.4487849,-76.4886861
2,2013-03-09 20:55:00,42.4487888,-76.4886734
2,2013-03-09 21:00:00,42.4487829,-76.488683
2,2013-03-09 21:05:00,42.4488129,-76.4886893
2,2013-03-09 21:10:00,42.4487943,-76.4886939
2,2013-03-09 21:15:00,42.4488169,-76.4886884
2,2013-03-09 21:20:00,42.4488207,-76.4886887
2,2013-03-09 21:25:00,42.4488044,-76.4886945
2,2013-03-09 21:30:00,42.448814,-76.4886771
2,2013-03-09 21:35:00,42.4484821,-76.488767
2,2013-03-09 21:40:00,42.4488045,-76.4886866
2,2013-03-09 21:45:00,42.4487939,-76.4886784
2,2013-03-09 21:50:00,42.4488051,-76.4886912
2,2013-03-09 21:55:00,42.448681,-76.4887716
2,2013-03-09 22:00:00,42.4487855,-76.4886968
2,2013-03-09 22:05:00,42.448791,-76.4886615
2,2013-03-09 22:10:00,42.4482791,-76.4888731
2,2013-03-09 22:15:00,42.4485769,-76.4888503
2,2013-03-09 22:20:00,42.4486233,-76.4887752
2,2013-03-09 22:25:00,42.4485182,-76.4888282
2,2013-03-09 22:30:00,42.4487727,-76.4886896
2,2013-03-09 22:35:00,42.4487839,-76.4886903
